timestamp_iso,secs_since_start,java_heap_total_kb,native_heap_total_kb,total_pss_kb,total_rss_kb
2026-05-18T08:44:55Z,0,,,,
2026-05-18T08:45:55Z,60,,,,
2026-05-18T08:46:56Z,121,,,,
2026-05-18T08:47:56Z,181,,232141,587654,336035
2026-05-18T08:48:57Z,242,,306965,743138,411280
2026-05-18T08:49:59Z,304,,303245,702515,511442
2026-05-18T08:51:00Z,365,,312497,720683,538590
2026-05-18T08:52:01Z,426,,303873,654215,548950
2026-05-18T08:53:02Z,487,,304929,653139,552590
2026-05-18T08:54:03Z,548,,307313,657359,553766
2026-05-18T08:55:04Z,609,,310045,659607,554598
2026-05-18T08:56:06Z,671,,306825,659587,555278
2026-05-18T08:57:07Z,732,,309369,662970,560462
2026-05-18T08:58:08Z,793,,312057,667554,561790
2026-05-18T08:59:09Z,854,,311129,669038,563462
2026-05-18T09:00:10Z,915,,316397,748220,557266
2026-05-18T09:01:11Z,976,,322557,755586,573402
2026-05-18T09:02:13Z,1038,,316397,683296,573618
2026-05-18T09:03:14Z,1099,,312221,681358,574414
2026-05-18T09:04:15Z,1160,,314881,685694,575430
2026-05-18T09:05:16Z,1221,,316981,689354,584022
2026-05-18T09:06:17Z,1282,,319893,693417,586042
2026-05-18T09:07:18Z,1343,,315569,691189,587746
2026-05-18T09:08:19Z,1404,,318297,696153,588438
2026-05-18T09:09:21Z,1466,,321089,700342,588954
2026-05-18T09:10:22Z,1527,,324029,672255,573828
2026-05-18T09:11:23Z,1588,,328053,757245,592616
2026-05-18T09:12:24Z,1649,,322273,705184,592856
2026-05-18T09:13:25Z,1710,,324745,709783,593700
2026-05-18T09:14:27Z,1772,,321185,708519,594568
2026-05-18T09:15:28Z,1833,,322701,711467,595252
2026-05-18T09:16:29Z,1894,,325553,716364,598776
2026-05-18T09:17:30Z,1955,,328133,720783,599172
2026-05-18T09:18:31Z,2016,,323877,718211,599820
2026-05-18T09:19:32Z,2077,,326901,715408,518895
2026-05-18T09:20:34Z,2139,,334969,713406,574791
2026-05-18T09:21:35Z,2200,,331901,674335,575019
2026-05-18T09:22:36Z,2261,,327533,672072,591899
2026-05-18T09:23:37Z,2322,,329925,676200,595091
2026-05-18T09:24:38Z,2383,,332741,680371,597143
2026-05-18T09:25:39Z,2444,,335005,684575,598147
2026-05-18T09:26:41Z,2506,,331437,682679,598903
2026-05-18T09:27:42Z,2567,,333493,686411,599667
2026-05-18T09:28:43Z,2628,,336249,691055,600407
2026-05-18T09:29:44Z,2689,,336945,718292,575492
2026-05-18T09:30:45Z,2750,,337733,672318,605510
2026-05-18T09:31:46Z,2811,,337149,701698,606142
