timestamp_iso,secs_since_start,java_heap_total_kb,native_heap_total_kb,total_pss_kb,total_rss_kb
2026-05-18T08:30:12Z,0,,,,
2026-05-18T08:31:13Z,61,,,,
2026-05-18T08:32:14Z,122,,,,
2026-05-18T08:33:14Z,182,,,,
2026-05-18T08:34:15Z,243,,,,
2026-05-18T08:35:15Z,303,,,,
2026-05-18T08:36:16Z,364,,,,
2026-05-18T08:37:16Z,424,,,,
2026-05-18T08:38:17Z,485,,,,
2026-05-18T08:39:17Z,545,,,,
2026-05-18T08:40:18Z,606,,183985,436492,283635
2026-05-18T08:41:19Z,667,,254393,685598,359467
2026-05-18T08:42:20Z,728,,301789,639516,435432
2026-05-18T08:43:21Z,789,,306565,674355,446085
2026-05-18T08:44:22Z,850,,,,
